Date,Tweets,Trending,Retweets,Favs,Comments
2017-02-04,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,,25000.0,145000.0,19000.0
2017-02-05,Enjoy the   and then we continue MAKE AMERICA GREAT AGAIN!,SuperBowl,33000.0,173000.0,23000.0
2017-02-05,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,,26000.0,137000.0,34000.0
2017-02-05,Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,,27000.0,129000.0,46000.0
2017-02-05,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,,26000.0,120000.0,47000.0
2017-02-05,Interview with   on Fox Network - 400 P.M. (prior to Super Bowl). Enjoy!,oreillyfactor,10000.0,66000.0,13000.0
2017-02-06,An extended interview from the Super Bowl with   airs tonight at 800 P.M. Enjoy!,,7300.0,50000.0,9800.0
2017-02-06,The failing   writes total fiction concerning me. They have gotten it wrong for two years and now are making up stories & sources!,nytimes,18000.0,90000.0,34000.0
2017-02-06,I call my own shots largely based on an accumulation of data and everyone knows it. Some FAKE NEWS media in order to marginalize lies!,,22000.0,116000.0,55000.0
2017-02-06,Any negative polls are fake news just like the CNN ABC NBC polls in the election. Sorry people want border security and extreme vetting.,,33000.0,150000.0,59000.0
2017-02-06,What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,,67000.0,251000.0,19000.0
2017-02-07,"""An honor having the National Sheriffs Assoc. join me at the "" . Incredible men & women who protect & serve 24/7/365. THANK YOU!!",,17000.0,101000.0,11000.0
2017-02-07,"""I dont know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1 in terror no problem!""",,47000.0,176000.0,54000.0
2017-02-07,The threat from radical Islamic terrorism is very real just look at what is happening in Europe and the Middle-East. Courts must act fast!,,30000.0,135000.0,36000.0
2017-02-07,The failing   was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,nytimes,15000.0,85000.0,21000.0
2017-02-08,"""Trump administration seen as more truthful than news media""",,16000.0,82000.0,37000.0
2017-02-08,"""Majority in Leading EU Nations Support Trump-Style Travel Ban nPoll of more than 10000 people in 10 countries...""",,20000.0,77000.0,15000.0
2017-02-08,"""Immigration Ban Is One Of Trumps Most Popular Orders So Far""",,28000.0,114000.0,32000.0
2017-02-08,Thank you Brian Krzanich CEO of  . A great investment ($7 BILLION) in American INNOVATION and JOBS! ,,20000.0,91000.0,7500.0
2017-02-08,Big increase in traffic into our country from certain areas while our people are far more vulnerable as we wait for what should be EASY D!,,16000.0,83000.0,25000.0
2017-02-08,"""16 Fake News Stories Reporters Have Run Since Trump Won""",,17000.0,59000.0,15000.0
2017-02-08,My daughter Ivanka has been treated so unfairly by  . She is a great person -- always pushing me to do the right thing! Terrible!,Nordstrom,25000.0,133000.0,91000.0
2017-02-08,Thank you to our great Police Chiefs & Sheriffs for your leadership & service. You have a true friend in the  . We support you!,,15000.0,84000.0,5400.0
2017-02-08,I will be speaking at 900 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible dangerous and wrong decision.......,,9800.0,70000.0,14000.0
2017-02-08,If the U.S. does not win this case as it so obviously should we can never have the security and safety to which we are entitled. Politics!,,20000.0,107000.0,28000.0
2017-02-08,It is a disgrace that my full Cabinet is still not in place the longest such delay in the history of our country. Obstruction by Democrats!,,33000.0,146000.0,70000.0
2017-02-09,SEE YOU IN COURT THE SECURITY OF OUR NATION IS AT STAKE!,,61000.0,221000.0,136000.0
2017-02-09,Join us live in the Oval Office for the swearing in of our new Attorney General  !nLIVE ,,9800.0,66000.0,13000.0
2017-02-09,"..Ryan died on a winning mission ( according to General Mattis) not a ""failure."" Time for the U.S. to get smart and start winning again!",,14000.0,85000.0,25000.0
2017-02-09,"""...long he doesnt know how to win anymore just look at the mess our country is in - bogged down in conflict all over the place. Our hero..""",,11000.0,63000.0,13000.0
2017-02-09,"""Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! Hes been losing so....""",,14000.0,80000.0,22000.0
2017-02-09,"Chris Cuomo in his interview with Sen. Blumenthal never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!",,14000.0,68000.0,19000.0
2017-02-09,Sen.Richard Blumenthal who never fought in Vietnam when he said for years he had (major lie)now misrepresents what Judge Gorsuch told him?,,18000.0,78000.0,26000.0
2017-02-09,Congratulations to our new Attorney General  !,,30000.0,153000.0,25000.0
2017-02-10,Heading to Joint Base Andrews on   with Prime Minister Shinzō earlier today.,,36000.0,148000.0,16000.0
2017-02-10,"The failing   does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",nytimes,22000.0,99000.0,27000.0
2017-02-10,"LAWFARE ""Remarkably in the entire opinion the panel did not bother even to cite this (the) statute."" A disgraceful decision!",,16000.0,83000.0,22000.0
2017-02-11,A working dinner tonight with Prime Minister Abe of Japan and his representatives at the Winter White House (Mar-a-Lago). Very good talks!,,13000.0,91000.0,15000.0
2017-02-11,Played golf today with Prime Minister Abe of Japan and   Ernie Els and had a great time. Japan is very well represented!,TheBig_Easy,12000.0,78000.0,7600.0
2017-02-11,I am so proud of my daughter Ivanka. To be abused and treated so badly by the media and to still hold her head so high is truly wonderful!,,26000.0,195000.0,38000.0
2017-02-11,Having a great time hosting Prime Minister Shinzo Abe in the United States! n n,,15000.0,86000.0,11000.0
2017-02-11,Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach Fla. They are a wonderful couple!,,15000.0,112000.0,15000.0
2017-02-11,...design or negotiations yet. When I do just like with the F-35 FighterJet or the Air Force One Program price will come WAY DOWN!,,12000.0,78000.0,15000.0
2017-02-11,I am reading that the great border WALL will cost more than the government originally thought but I have not gotten involved in the.....,,13000.0,72000.0,15000.0
2017-02-11,"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!",,21000.0,94000.0,31000.0
2017-02-12,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,,23000.0,132000.0,59000.0
2017-02-12,Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!,,15000.0,96000.0,26000.0
2017-02-12,"""I know Mark Cuban well. He backed me big-time but I wasnt interested in taking all of his calls.Hes not smart enough to run for president!""",,14000.0,76000.0,33000.0
2017-02-12,After two days of very productive talks Prime Minister Abe is heading back to Japan. L,,12000.0,77000.0,7800.0
2017-02-12,While on FAKE NEWS   Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!,CNN,23000.0,104000.0,18000.0
2017-02-12,72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries SYRIA IRAQ SOMALIA IRAN SUDAN LIBYA & YEMEN,,21000.0,75000.0,18000.0
2017-02-12,The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members drug dealers & others are being removed!,,27000.0,138000.0,26000.0
2017-02-12, Joint Statement with Prime Minister Shinzo Abe on North Korea.,,13000.0,58000.0,5800.0
2017-02-13,"Wonderful meeting with Canadian PM  "" and a group of leading CEOs & business women from Canada"" and the United States",,14000.0,80000.0,12000.0
